check_id,result,detail
H-SHELL-NAV-01,PASS,"FutureNavButton usages=5, expected=5 (T04/T05/T09/T10/T12) at MainWindow.xaml."
H-SHELL-NAV-02,PASS,"7 destinations wired as NavButton; 5 remaining placeholders own one Content each."
H-SHELL-NAV-03,PASS,"FutureNavButton style hard-codes IsEnabled=False (placeholders stay visibly disabled)."
H-SHELL-WIRED-01,PASS,"Home/Explorer/DPVC/ROUTE handlers wired in XAML and defined in code-behind."
H-SHELL-HDR-01,PASS,"Reconnect/Attach and Screenshot header buttons wired and defined."
H-SHELL-CARD-01,PASS,"Sidebar and home-card entry points share Explorer_Click/Corridor_Click/Route_Click."
H-SHELL-ROUTE-01,PASS,"ROUTE-01..04 buttons wired and defined."
H-SHELL-FWD-01,PASS,"signature=True detached-message=True delegates=True disposed-guard=True no-reflection=True (plain event ?.Invoke x2)."
H-NAV-A-01,PASS,"Crossings=True Inspect=True Measure=True Coverage=True central-forwarder=True named-accessible-buttons=True."
H-NAV-A-02,PASS,"forwarding-failure-in-status=True busy-gated-nav-buttons=True (pages open; live actions gated in Workbench)."
H-NAV-B-01,PASS,"overlay-route=True review-route=True views-in-ShowTool=True gate-sync=True."
H-NAV-B-02,PASS,"shapes+engine-build=True drag-policy=True validation-markers=True runtime(good-accepted=True zero-radii-rejected=True single-point-rejected=True.)."
H-NAV-B-03,PASS,"operation-bound-contract=True runtime(visible=Visible pending=Pending stale-epoch=Superseded unknown=UnknownOperation isolated=True retire-safe=True.)."
H-NAV-B-04,PASS,"atomic+hash+no-credentials-contract=True runtime(round-trip=True hash-linked=True tamper-distinguished=True schema-rejected=True.)."
H-NAV-F-01,PASS,"sidebar-button=True showtool+refresh-gating=True session-free-view=True."
H-NAV-F-02,PASS,"action-contract=True runtime(registration=True disconnected-11-gated=True null-empty=True unsupported-codes=True.)."
H-BOUNDARY-01,PASS,"No private-reflection markers in 10 integrated files (System.Reflection use is version-read-only=True)."
H-ROUTE-SEL-01,PASS,"Single-active selection and first-visible fallback verified independently."
H-ROUTE-SEL-02,PASS,"Invisible active layer ignored; first visible layer selected."
H-ROUTE-SEL-03,PASS,"Ambiguous/no-visible/empty/null catalogs rejected with documented exceptions."
H-ROUTE-PLAN-01,PASS,"H-first bend, net-conflict unassigned, width bounds verified with hand-computed points."
H-SHELL-SHOWTOOL-01,PASS,"single ShowTool dispatcher=True home/explorer/corridor/route/overlay/review/padstacks keys=True."
H-EXPLORER-SESSION-01,PASS,"constructions=1 (expected 1) session-retained=True detach-on-dispose=True double-attach-refused=True."
H-PLACEHOLDER-01,PASS,"T04/T05/T09/T10/T12 remain FutureNavButton placeholders; their native gates stay NOT_EXECUTED."
